timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
55789094,5267,0,-0.06762908,0.20127018,-9.717425,0.0014777553,0.005240651,-0.051664762,29.0,78.0,0.0023928226,1114658,1,197,-4487,4693
55889901,4224,0,0.1315325,0.6557489,-10.235853,-0.001957089,-0.0098114,-0.041114822,29.0,78.0,0.0023928226,1114658,532,892,-3478,4705
55990717,4240,0,0.02071328,1.0120745,-9.916545,0.006441792,0.009847801,-0.038220253,29.0,78.0,0.0023928226,1114658,-1277,603,-4288,2606
56092526,4170,0,-0.73563373,-1.2473909,-9.948116,-0.0029672612,0.0074216546,-0.040259283,29.125,78.0,0.0023928226,1114658,-896,1274,-2301,16873
56195544,4293,0,-0.48556662,-0.9513519,-9.812959,0.0058890744,0.014698024,-0.047804225,29.0,78.0,0.0023928226,1114658,-946,1209,-3947,2614
56296317,4290,0,-0.13937074,-0.10087972,-10.090191,-0.0004949004,0.006800747,-0.044654544,29.0,78.0,0.0023928226,1114658,-171,845,-4062,2618
56399159,4232,0,0.2071406,1.0438278,-10.007457,0.0007254219,0.0030639684,-0.041679755,29.125,78.0,0.0023928226,1114658,433,153,-3010,2049
56498876,4172,0,-0.04956715,0.6773428,-9.772887,-0.0042593447,-0.00036101538,-0.03965431,29.125,78.0,0.0023928226,1114658,1285,-174,-3036,16
56600727,5220,0,-0.16662864,-0.57741976,-10.19445,0.004605091,0.012438287,-0.054034118,29.0,78.0,0.0023928226,1114658,221,1165,-2148,2638
56702679,4303,0,-1.2376676,-1.0148622,-10.074581,-0.0036876302,-0.011770031,-0.047454383,29.125,78.0,0.0023928226,1114658,1202,317,-4305,4730
56803474,4297,0,0.79590625,0.008743481,-9.702479,-0.015354774,-0.004543386,-0.04099286,29.0,78.0,0.0023928226,1114658,2340,-170,-1094,4741
56904245,5318,0,-0.7686437,0.9849808,-10.200845,-0.023486013,-0.012135848,-0.04977408,29.125,78.0,0.0023928226,1114658,4097,80,-3,4737
57008158,4232,0,0.17027259,-0.22368161,-9.463558,0.00096888596,0.01655306,-0.044640064,29.125,78.0,0.0023928226,1114658,-671,1427,-2126,2049
57108926,4150,0,-1.0568471,-0.5209225,-10.073632,-0.004822706,-0.018085945,-0.040268686,29.25,78.0,0.0023928226,1114658,2312,1450,-3365,2629
57208708,4232,0,-1.0738266,0.471538,-9.110436,-0.021394828,-0.024450893,-0.04106548,29.125,78.0,0.0023928226,1114658,1128,811,-6256,16
57310527,5239,0,1.477271,0.25808614,-9.963412,-0.0044350405,0.008010548,-0.057467967,29.125,78.0,0.0023928226,1114658,1515,-2643,-2768,0
57415533,4206,0,1.287483,0.31202313,-10.724321,0.0133273825,0.0034526929,-0.03452062,29.0,78.0,0.0023928226,1114658,-635,-1800,-766,2634
57516331,5245,0,0.6404594,1.1662587,-10.990146,0.02382487,0.0018588292,-0.050817434,29.125,78.0,0.0023928226,1114658,1106,2177,1267,2628
57613977,4156,0,1.7460548,0.2829019,-10.084168,-0.010302541,-0.0034276436,-0.04925226,29.0,78.0,0.0023928226,1114658,-218,-4676,-3569,8192
57718977,4169,0,0.04379853,-0.66072315,-11.133473,-0.03377924,-0.008113266,-0.033085342,29.25,78.0,0.0023928226,1114658,971,-1506,-7002,4767
57821895,4219,0,0.086992055,0.21152118,-10.622827,0.0132011045,0.004075536,-0.06837508,29.25,78.0,0.0023928226,1114658,1064,-2083,-2099,2642
57922693,5266,0,-0.32707998,1.5583528,-10.512419,0.032630865,0.020204859,-0.08393152,29.25,78.0,0.0023928226,1114658,1176,2586,-3967,4778
58027681,4180,0,0.13216315,-0.35504654,-9.391046,-0.029114768,-0.00028228812,-0.009823562,29.125,78.0,0.0023928226,1114658,269,-930,-6750,8193
58127509,4261,0,-1.1683925,-0.7676331,-10.2182255,-0.003279524,0.0061777215,-0.03528245,29.125,78.0,0.0023928226,1114658,-1558,3484,-3678,4776
58228340,4281,0,-0.33567643,-0.6966208,-9.967074,-0.0036383478,0.004800663,-0.027466033,29.125,78.0,0.0023928226,1114658,491,1703,-1361,2643
58331154,4227,0,-1.2312547,0.22153544,-9.446677,-0.013600103,0.004240028,-0.026840378,29.125,78.0,0.0023928226,1114658,-739,4762,-2211,2049
58431927,4200,0,-0.17901969,0.43880674,-10.780228,-0.016815042,-0.0075871935,-0.04045596,29.125,78.0,0.0023928226,1114658,2488,1352,2733,2646
58531677,4153,0,1.0640347,-0.22343415,-10.463102,0.0029797521,0.0023628494,-0.07724307,29.25,78.0,0.0023928226,1114658,2050,-3666,-2116,2048
58632509,4172,0,-0.40381798,-0.67144376,-9.83965,0.011848095,0.001984002,-0.05315989,29.125,78.0,0.0023928226,1114658,1999,85,-6603,16873
