timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
85201719,3961,0,0.14664285,-0.04299155,-9.758219,0.0026429857,-0.0038956173,-0.038135473,70.12188,156.9064,0.0047884034,1442826,191,-43,2118,12679
85301715,3998,0,-0.31658846,0.22205445,-9.76198,0.0012337975,-0.0023818612,-0.040748715,70.11357,156.9064,0.0047884034,1442826,169,-19,2172,12676
85401753,4038,0,0.37434983,-0.6654867,-9.84565,0.00022846277,7.0930924e-05,-0.03720938,70.14127,156.9064,0.0047884034,1442826,-73,113,2316,12686
85505727,4012,0,0.18006963,-0.9126865,-10.340906,0.002745926,-0.004000447,-0.039110515,70.132965,156.9064,0.0047884034,1442826,-11,-101,1656,12683
85607306,3960,0,0.20647988,-0.3211824,-10.178957,-6.6064866e-05,-0.0075224116,-0.043228175,70.14127,156.9064,0.0047884034,1442826,346,-26,2267,12686
85707301,4007,0,0.10621629,0.09272081,-9.850469,0.0007968425,-0.007693487,-0.044304278,70.12465,156.9064,0.0047884034,1442826,142,-169,2224,12680
85807294,4001,0,0.19122504,-0.10840541,-9.844407,0.0022836193,-0.007055801,-0.038641922,70.135735,156.9064,0.0047884034,1442826,453,-53,2028,12684
85911372,4095,0,0.010554109,-0.97849613,-9.808517,-0.0007918001,-0.0014391065,-0.040837508,70.11357,156.9064,0.0047884034,1442826,100,121,2069,12676
86015276,3937,0,-0.115155436,-0.041776266,-9.812254,0.0016413033,0.0047068996,-0.039626237,70.12188,156.9064,0.0047884034,1442826,-353,-174,1924,12679
86119271,4001,0,0.31690437,0.6944938,-9.486577,-0.0031502265,-0.0031467713,-0.03627318,70.15789,156.9064,0.0047884034,1442826,214,247,2221,12692
86220101,4009,0,-0.13224651,-0.10924486,-9.691915,-0.0023190724,-0.006379108,-0.04009568,70.11911,156.9064,0.0047884034,1442826,279,161,2062,12678
86320900,4006,0,-0.065915406,-1.0318367,-10.0601425,0.0033427814,0.0012042989,-0.03809373,70.11634,156.9064,0.0047884034,1442826,-13,-176,2119,12677
86420893,3998,0,0.06948396,0.2830274,-9.659361,0.00089858496,0.0003565068,-0.03709743,70.16344,156.9064,0.0047884034,1442826,131,-18,2137,12694
86524894,4001,0,-0.6475674,-0.8551243,-9.97495,-0.00057019695,-0.0015859387,-0.03608615,70.16344,156.9064,0.0047884034,1442826,-206,-165,2045,12694
