timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
52648905,3986,0,0.5786908,-0.10743598,-9.598557,-0.0006835384,-0.0015783536,-0.03769002,62.01385,156.9064,0.0047884034,1442826,72,97,2043,9752
52752966,4061,0,0.2767308,0.44227114,-9.94651,0.0020008585,0.0014759728,-0.038694642,62.011078,156.9064,0.0047884034,1442826,-66,51,2232,9751
52856900,4007,0,-0.20486699,0.15331554,-9.528528,-0.0032468217,-0.0032435062,-0.039292507,62.01662,156.9064,0.0047884034,1442826,308,145,2079,9753
52956900,4007,0,0.57709795,0.10832582,-9.686961,0.0010683913,0.004669429,-0.03693796,62.00277,156.9064,0.0047884034,1442826,-248,255,2328,9748
53056921,4027,0,0.20147794,0.11358998,-10.387926,0.003750822,-0.00041180264,-0.038139477,61.99723,156.9064,0.0047884034,1442826,-37,-132,1711,9746
53160893,3966,0,0.48712328,0.10928598,-10.150089,0.0031591172,-0.0007116155,-0.035321377,62.0,156.9064,0.0047884034,1442826,-186,102,2077,9747
53264904,3995,0,0.31693837,0.2891858,-9.595366,-0.00010301493,0.0017641574,-0.035612337,61.98338,156.9064,0.0047884034,1442826,37,173,1813,9741
53364936,4043,0,-0.021551257,0.034860842,-9.448322,-0.00106442,-0.001405999,-0.03915616,62.03324,156.9064,0.0047884034,1442826,-92,185,2130,9759
53465693,4800,0,-0.35839626,0.15301742,-9.67854,0.003007282,0.0038766973,-0.048905402,62.00554,156.9064,0.0047884034,1442826,-69,-138,2206,9749
53566500,3988,0,0.2597219,0.61716396,-9.988271,0.00610303,0.005827472,-0.036406256,61.99723,156.9064,0.0047884034,1442826,187,-280,1795,9746
53670581,4063,0,0.084890075,0.10453921,-9.851404,-0.005071009,-0.005012307,-0.041111413,62.049862,156.9064,0.0047884034,1442826,183,79,1710,9765
53770495,4003,0,-0.5740404,-0.6017321,-9.944757,-0.00019170204,0.00044149382,-0.04004716,62.0277,156.9064,0.0047884034,1442826,-130,-89,1948,9757
53874493,3980,0,0.6645257,1.0783807,-9.578608,0.001597995,0.0055748643,-0.033884563,62.0277,156.9064,0.0047884034,1442826,223,256,2085,9757
53974493,4001,0,0.042715114,0.7230021,-9.619243,-0.0055098273,-0.0043739006,-0.042857863,62.049862,156.9064,0.0047884034,1442826,503,167,2133,9765
54074493,3999,0,-0.18911602,-0.34231308,-9.9450035,0.003412469,-0.0027398597,-0.041743677,62.05263,156.9064,0.0047884034,1442826,-37,9,2129,9766
54178533,4002,0,0.5627121,0.4547778,-9.726495,-0.0035173916,0.002967453,-0.036997452,62.011078,156.9064,0.0047884034,1442826,-107,190,1978,9751
54278505,3993,0,-0.6377287,-0.028924458,-9.611909,-0.005246614,-0.0026530195,-0.038314883,62.0277,156.9064,0.0047884034,1442826,32,40,2077,9757
54382503,4010,0,0.45569876,0.6592516,-9.803926,0.00844922,0.007344319,-0.03928417,62.03601,156.9064,0.0047884034,1442826,-199,-246,2090,9760
54483318,4026,0,0.67108864,1.0383521,-9.551917,-0.0036102468,-0.0026705617,-0.039865166,62.03601,156.9064,0.0047884034,1442826,503,347,2009,9760
54584104,4029,0,-0.5365388,-0.558195,-9.985752,-0.0044599622,-0.004343935,-0.04231636,62.01662,156.9064,0.0047884034,1442826,147,51,1998,9753
54684095,4026,0,0.20836996,0.055962965,-9.917338,0.0048039802,0.006849551,-0.034475215,62.03878,156.9064,0.0047884034,1442826,8,79,2060,9761
54784069,4000,0,-0.30513555,0.15994892,-9.6721115,-0.0008798582,-0.004436009,-0.04087035,62.03878,156.9064,0.0047884034,1442826,-107,-26,2042,9761
54888082,4013,0,0.12549312,0.40496027,-9.755437,-0.005562312,-0.00390032,-0.036252823,62.00831,156.9064,0.0047884034,1442826,205,473,2433,9750
54992069,3998,0,0.6187336,0.62060714,-9.613706,-0.008369546,-0.007686477,-0.04639022,62.03324,156.9064,0.0047884034,1442826,575,637,2164,9759
55096069,3994,0,-0.4416439,-0.31361523,-10.089659,-0.005425119,-0.007970998,-0.04419868,62.02493,156.9064,0.0047884034,1442826,-121,162,1774,9756
55196134,4029,0,0.15126282,-0.17112029,-9.970088,0.005306073,0.0053564804,-0.039408635,62.066483,156.9064,0.0047884034,1442826,-110,-452,2066,9771
55296099,3999,0,-0.6948442,0.28224078,-9.703617,-0.015072116,-0.009388014,-0.048257686,62.04432,156.9064,0.0047884034,1442826,676,-243,1910,9763
55400115,4016,0,0.029331746,0.17499761,-9.793813,0.018023128,-0.00017062773,-0.049459204,62.049862,156.9064,0.0047884034,1442826,-227,-686,2984,9765
55501752,4038,0,-1.2451794,-0.034494955,-9.379819,-0.005905136,0.0031490547,-0.041203808,62.066483,156.9064,0.0047884034,1442826,-204,-757,2271,9771
55601714,4000,0,-0.74445826,0.17493612,-10.484529,-0.007900548,-0.00011532247,-0.020063328,62.05817,156.9064,0.0047884034,1442826,430,-752,444,9768
55701714,4000,0,0.91869247,0.27390635,-9.247243,0.001541331,-0.008913466,-0.028125469,62.08033,156.9064,0.0047884034,1442826,-533,1198,3300,9776
55805714,3944,0,0.637402,0.4147211,-10.181969,0.0073401364,-0.0026372808,-0.040310405,62.07756,156.9064,0.0047884034,1442826,784,1014,1644,9775
55905693,3994,0,0.10326601,0.42617372,-9.727364,0.0019952802,0.0011106506,-0.049887687,62.03601,156.9064,0.0047884034,1442826,367,850,3827,9760
56005730,4038,0,-0.45542237,0.048847653,-10.245794,-0.0060476996,0.0007725529,-0.054827023,62.0277,156.9064,0.0047884034,1442826,-513,-338,2376,9757
56109691,4022,0,0.11630525,-0.18924803,-9.465693,-0.0052344683,0.011679046,-0.035521723,62.07479,156.9064,0.0047884034,1442826,134,-20,2235,9774
56209669,3994,0,0.05494283,0.84207666,-9.616133,-0.0014961736,0.005952845,-0.041299585,62.085873,156.9064,0.0047884034,1442826,367,275,2021,9778
56313669,4000,0,0.0794476,0.39462742,-9.762265,0.011881424,0.0005440442,-0.03506724,62.088642,156.9064,0.0047884034,1442826,626,-291,1170,9779
56413702,4033,0,-0.39577812,-0.045367952,-10.254323,-0.008995632,0.0025108159,-0.04507178,62.099724,156.9064,0.0047884034,1442826,236,-219,2574,9783
56515340,4048,0,-0.4125485,0.27286777,-9.756233,-0.010705597,0.014671127,-0.046450827,62.07479,156.9064,0.0047884034,1442826,-1084,-481,596,9774
56619300,3965,0,0.18031473,0.5169209,-10.202231,0.011127606,-0.014295962,-0.05083704,62.085873,156.9064,0.0047884034,1442826,-418,-533,1675,9778
56719293,4000,0,0.19159822,0.05679801,-9.718261,0.013031561,-0.008385087,-0.048343547,62.09695,156.9064,0.0047884034,1442826,564,-279,1852,9782
56819314,3985,0,0.6016032,-0.61517334,-10.487546,0.003502833,-0.00789543,-0.044663683,62.102493,156.9064,0.0047884034,1442826,-233,353,2294,9784
56919343,4029,0,-0.055918068,0.00898042,-9.595843,-0.0037994515,0.0044328705,-0.047511823,62.083103,156.9064,0.0047884034,1442826,504,115,930,9777
57023314,3964,0,-0.6236035,0.5770463,-8.690904,-0.0050920593,0.0033849084,-0.024586096,62.099724,156.9064,0.0047884034,1442826,-235,106,2858,9783
57123314,4000,0,-0.4361518,0.36327162,-9.95827,-0.0012915297,-0.00082588557,-0.044015747,62.069252,156.9064,0.0047884034,1442826,203,-292,3684,9772
57227321,4007,0,0.0050055445,-0.85946125,-10.49014,0.0014028219,-0.004951226,-0.040652163,62.08033,156.9064,0.0047884034,1442826,-6,28,1513,9776
57327314,4000,0,-0.8412422,-0.111159086,-9.601903,-0.018145895,0.0058989585,-0.04596452,62.127422,156.9064,0.0047884034,1442826,140,-137,1083,9793
57427320,3970,0,-0.57201266,1.7596521,-9.266925,-0.0025805698,0.011337044,-0.042445526,62.085873,156.9064,0.0047884034,1442826,26,170,2044,9778
57532893,4001,0,0.40456358,1.138892,-9.819255,0.018318426,-0.007828313,-0.046062782,62.121883,156.9064,0.0047884034,1442826,901,-189,3132,9791
57632900,3976,0,1.2770858,0.13939841,-9.952369,0.019721946,-0.0070960103,-0.032875706,62.127422,156.9064,0.0047884034,1442826,1121,1365,2401,9793
57732898,4006,0,-1.1703253,0.62594175,-10.905708,0.00010863459,-0.014846505,-0.055423442,62.141273,156.9064,0.0047884034,1442826,-142,-1334,2478,9798
57836918,4019,0,-1.3804674,1.140952,-12.013147,-0.0011530318,0.008829735,-0.0654198,62.149582,156.9064,0.0047884034,1442826,495,-1418,1156,9801
57936892,3993,0,0.8831209,0.07554082,-11.606823,0.00041767,-0.012266491,-0.042688686,62.146812,156.9064,0.0047884034,1442826,-498,1002,4743,9800
58036893,4001,0,-0.44426337,-0.27151003,-12.284109,0.0072297845,-0.002746769,-0.04936228,62.149582,156.9064,0.0047884034,1442826,-300,-1139,925,9801
58140899,3969,0,0.149123,-0.3038466,-11.579324,-0.0025447845,-0.00059748476,-0.04716313,62.116344,156.9064,0.0047884034,1442826,-278,-20,3105,9789
58240893,4000,0,-0.15332234,0.5846066,-11.210381,0.0077759014,0.012704266,-0.037317596,62.127422,156.9064,0.0047884034,1442826,-232,-815,1236,9793
58340930,4037,0,0.5087689,1.7966594,-11.522177,0.011663983,-0.0029719516,-0.04610274,62.141273,156.9064,0.0047884034,1442826,1111,192,2183,9798
58444901,4009,0,0.35899976,0.15094195,-11.62241,-0.005046673,-0.007802517,-0.05708856,62.132965,156.9064,0.0047884034,1442826,1023,849,2828,9795
58546508,3991,0,-0.046452202,-1.0275401,-10.897451,-0.012951047,-0.0044930307,-0.05766709,62.124653,156.9064,0.0047884034,1442826,-597,-116,2349,9792
58646508,4016,0,0.23575301,0.19661476,-9.455938,-0.0019813972,0.0016514945,-0.03867406,62.141273,156.9064,0.0047884034,1442826,-221,960,2733,9798
58750504,4011,0,0.26593912,0.5505209,-9.262686,0.001837002,-0.0012510685,-0.042859674,62.135735,156.9064,0.0047884034,1442826,90,72,542,9796
58850506,4009,0,0.18323547,-0.015251842,-9.372475,-0.0055843852,0.0012547835,-0.021133773,62.174515,156.9064,0.0047884034,1442826,276,514,3013,9810
58950519,4026,0,-0.18418999,-0.6637477,-9.115221,-0.0051760566,0.0023195036,-0.040140282,62.166203,156.9064,0.0047884034,1442826,-313,-573,1666,9807
59054519,4020,0,-0.0100044375,0.63844675,-9.148542,0.01291525,0.0060133473,-0.037549134,62.196674,156.9064,0.0047884034,1442826,681,-232,669,9818
59775304,3969,0,0.2698039,0.44068307,-8.363016,-0.007125009,0.006048852,-0.036752757,62.157894,156.9064,0.0047884034,1442826,-179,221,1427,9804
59875299,4007,0,0.040313352,-0.02193257,-8.750117,-0.0019773876,-0.0026737791,-0.027727442,62.180054,156.9064,0.0047884034,1442826,576,45,1520,9812
59975310,4005,0,0.5215929,-0.5711471,-8.710532,-0.0048294803,-0.00038201653,-0.056384332,62.218834,156.9064,0.0047884034,1442826,-281,911,2188,9826
60079309,4013,0,0.09211445,0.7072366,-8.923424,0.0048789456,0.006842497,-0.04236883,62.227146,156.9064,0.0047884034,1442826,-68,294,2182,9829
60179293,3949,0,-0.18395837,0.7821313,-8.921743,0.009867897,0.002656967,-0.037467208,62.182823,156.9064,0.0047884034,1442826,40,-445,2857,9813
60279348,4056,0,0.26053354,0.011078768,-9.217375,-0.009318568,-0.0069016665,-0.053572297,62.249306,156.9064,0.0047884034,1442826,-350,-42,2957,9837
60383293,3993,0,-0.19867556,-1.0612843,-9.943035,-0.012144042,6.0549937e-05,-0.0370346,62.227146,156.9064,0.0047884034,1442826,350,-322,3053,9829
60487299,4007,0,-0.36639678,0.52737683,-9.695962,0.0055560432,0.010365166,-0.037304733,62.224377,156.9064,0.0047884034,1442826,-1175,-434,3892,9828
60591292,3985,0,0.6410162,1.3288171,-9.8644705,0.009561156,0.0012197456,-0.03938834,62.229916,156.9064,0.0047884034,1442826,573,-19,1981,9830
60691293,3960,0,-0.07549893,0.4308362,-10.601592,0.0051792855,-0.010718299,-0.050777808,62.246536,156.9064,0.0047884034,1442826,146,-657,1165,9836
60792092,4793,0,0.11532521,-0.81067055,-10.355654,0.0008048555,-0.00846072,-0.05710457,62.246536,156.9064,0.0047884034,1442826,182,-272,3487,9836
60892892,3996,0,0.21862383,-0.8466086,-11.418913,0.01152995,0.0036635313,-0.03816375,62.249306,156.9064,0.0047884034,1442826,402,103,1820,9837
60996892,4000,0,-0.24839918,0.81580925,-10.253961,-0.01143918,0.013982707,-0.05002921,62.268696,156.9064,0.0047884034,1442826,-577,8,1648,9844
61096893,4001,0,-0.7590341,1.3155073,-10.499949,0.008185732,0.0034006233,-0.044072643,62.27147,156.9064,0.0047884034,1442826,-277,-934,2715,9845
61196936,4042,0,0.13832644,1.4478089,-10.652771,0.01879465,-0.0024451448,-0.051154748,62.268696,156.9064,0.0047884034,1442826,894,-316,2562,9844
61300902,4010,0,0.2878363,-0.5940387,-10.151036,-0.00867269,0.001126336,-0.029269438,62.30748,156.9064,0.0047884034,1442826,-91,927,4092,9858
61400947,4055,0,0.16793033,-0.43139324,-9.778466,-0.005898727,0.0023555206,-0.035861097,62.2964,156.9064,0.0047884034,1442826,9,582,1972,9854
61504893,3967,0,0.28704345,0.77666676,-9.050997,-0.003535693,0.0084683485,-0.020864084,62.25485,156.9064,0.0047884034,1442826,568,569,2259,9839
61604893,4000,0,0.061839573,0.71047837,-9.561786,-0.00035606918,-0.0034325353,-0.037111003,62.29363,156.9064,0.0047884034,1442826,-63,185,1369,9853
61704934,4000,0,0.5763378,-0.17711301,-10.055672,0.0056853606,-0.0045286957,-0.03985209,62.2964,156.9064,0.0047884034,1442826,85,262,1881,9854
61806469,4000,0,0.3710045,-0.81067127,-9.879443,-0.0072523453,-0.008243741,-0.040667396,62.27424,156.9064,0.0047884034,1442826,-330,630,1445,9846
61910469,4000,0,0.54674196,0.3864685,-8.545149,-0.0010759572,0.0029081155,-0.027577149,62.27424,156.9064,0.0047884034,1442826,-675,1166,2580,9846
62010469,3963,0,-0.22997932,0.7451758,-8.465426,0.012434697,0.0019645223,-0.03519045,62.28809,156.9064,0.0047884034,1442826,-25,-414,1700,9851
62110478,3983,0,0.5561519,0.13417408,-8.374211,-0.0070067947,-0.007773036,-0.044177953,62.31025,156.9064,0.0047884034,1442826,-175,980,2219,9859
62214495,4020,0,0.46626106,-0.2674474,-8.357679,-0.005999633,-0.00049358513,-0.036573622,62.29086,156.9064,0.0047884034,1442826,-527,628,2452,9852
62314470,4001,0,-0.4998903,0.33731076,-8.821937,0.0055172713,-0.0028559268,-0.032937694,62.28809,156.9064,0.0047884034,1442826,-223,-950,2180,9851
62414469,4000,0,0.45222074,0.5550101,-8.422832,-0.0014909308,-0.0043481253,-0.013991179,62.30748,156.9064,0.0047884034,1442826,-245,-175,751,9858
62518469,4000,0,0.25614074,-0.23180214,-9.235537,0.007642312,-0.006770843,-0.035533577,62.34903,156.9064,0.0047884034,1442826,222,-230,296,9873
62618532,3986,0,-0.1906909,-0.41701216,-8.383121,-0.015262948,0.0063002137,-0.042662073,62.30748,156.9064,0.0047884034,1442826,-495,102,802,9858
62722493,4000,0,0.17739868,0.6343821,-8.447488,-0.006209733,0.010728016,-0.016826505,62.321327,156.9064,0.0047884034,1442826,26,721,3013,9863
62820152,4029,0,-0.30308637,1.1949785,-9.395061,0.0059181238,0.0013660642,-0.043480232,62.3518,156.9064,0.0047884034,1442826,-34,-242,1149,9874
