-9.85,78.45,0.82,02/May/2023 17:45:34
-9.81,78.45,0.79,02/May/2023 17:45:36
-9.86,78.45,0.81,02/May/2023 17:45:38
-9.85,78.45,0.86,02/May/2023 17:45:44
-9.96,78.45,0.80,02/May/2023 17:45:44
-9.90,78.45,0.77,02/May/2023 17:45:44
-9.83,78.45,0.78,02/May/2023 17:45:46
-9.81,78.45,0.82,02/May/2023 17:45:48
-9.93,78.45,0.77,02/May/2023 17:45:50
-9.87,78.45,0.79,02/May/2023 17:45:52
-9.85,78.45,0.76,02/May/2023 17:45:54
-9.81,78.45,0.81,02/May/2023 17:45:56
-9.83,78.45,0.83,02/May/2023 17:45:58
-9.79,78.45,0.83,02/May/2023 17:46:05
-9.80,78.45,0.87,02/May/2023 17:46:05
-9.81,78.45,0.85,02/May/2023 17:46:05
-9.92,78.45,0.79,02/May/2023 17:46:06
-9.89,78.45,0.81,02/May/2023 17:46:08
-9.89,78.45,0.81,02/May/2023 17:46:10
-9.90,78.45,0.80,02/May/2023 17:46:12
-9.83,78.45,0.79,02/May/2023 17:46:14
-9.84,78.45,0.79,02/May/2023 17:46:16
-9.79,78.45,0.80,02/May/2023 17:46:18
-9.77,78.45,0.81,02/May/2023 17:46:24
-9.78,78.45,0.79,02/May/2023 17:46:24
-9.83,78.45,0.83,02/May/2023 17:46:24
-9.80,78.45,0.78,02/May/2023 17:46:26
-9.81,78.45,0.83,02/May/2023 17:46:28
-9.78,78.45,0.85,02/May/2023 17:46:30
-9.79,78.45,0.82,02/May/2023 17:46:32
-9.78,78.45,0.81,02/May/2023 17:46:34
-9.83,78.45,0.82,02/May/2023 17:46:36
-9.84,78.45,0.82,02/May/2023 17:46:38
-9.81,78.45,0.81,02/May/2023 17:46:45
-9.85,78.45,0.81,02/May/2023 17:46:45
-9.80,78.45,0.83,02/May/2023 17:46:45
-9.79,78.45,0.81,02/May/2023 17:46:46
-9.80,78.45,0.84,02/May/2023 17:46:48
-9.80,78.45,0.85,02/May/2023 17:46:50
-9.87,78.45,0.83,02/May/2023 17:46:52
-9.86,78.45,0.79,02/May/2023 17:46:54
-9.96,78.45,0.78,02/May/2023 17:46:56
-9.93,78.45,0.78,02/May/2023 17:46:58
-9.87,78.45,0.79,02/May/2023 17:47:05
-9.80,78.45,0.81,02/May/2023 17:47:05
-9.79,78.45,0.80,02/May/2023 17:47:05
-9.86,78.45,0.80,02/May/2023 17:47:06
-9.96,78.45,0.77,02/May/2023 17:47:08
-9.87,78.45,0.77,02/May/2023 17:47:10
-9.79,78.45,0.81,02/May/2023 17:47:12
-9.91,78.45,0.81,02/May/2023 17:47:14
-9.88,78.45,0.80,02/May/2023 17:47:16
-9.90,78.45,0.79,02/May/2023 17:47:18
-9.84,78.45,0.79,02/May/2023 17:47:25
-9.86,78.45,0.78,02/May/2023 17:47:25
-9.81,78.45,0.81,02/May/2023 17:47:25
-9.83,78.45,0.81,02/May/2023 17:47:26
-9.89,78.45,0.79,02/May/2023 17:47:28
-9.92,78.45,0.76,02/May/2023 17:47:30
-9.88,78.45,0.80,02/May/2023 17:47:32
-9.84,78.45,0.86,02/May/2023 17:47:34
-9.75,78.45,0.84,02/May/2023 17:47:36
-9.84,78.45,0.78,02/May/2023 17:47:38
-9.84,78.45,0.78,02/May/2023 17:47:45
-9.87,78.45,0.78,02/May/2023 17:47:45
-9.88,78.45,0.76,02/May/2023 17:47:45
-9.87,78.45,0.79,02/May/2023 17:47:46
-9.91,78.45,0.76,02/May/2023 17:47:48
-9.89,78.45,0.79,02/May/2023 17:47:50
-9.84,78.45,0.79,02/May/2023 17:47:52
-9.92,78.45,0.79,02/May/2023 17:47:54
-9.95,78.45,0.79,02/May/2023 17:47:56
-9.93,78.45,0.79,02/May/2023 17:47:58
-9.90,78.45,0.77,02/May/2023 17:48:05
-9.91,78.45,0.77,02/May/2023 17:48:05
-9.89,78.45,0.79,02/May/2023 17:48:05
-9.87,78.45,0.80,02/May/2023 17:48:06
-9.87,78.45,0.77,02/May/2023 17:48:08
-9.87,78.45,0.79,02/May/2023 17:48:10
-9.82,78.45,0.80,02/May/2023 17:48:12
-9.82,78.45,0.77,02/May/2023 17:48:14
-9.90,78.45,0.76,02/May/2023 17:48:16
-9.96,78.45,0.79,02/May/2023 17:48:18
-9.89,78.45,0.82,02/May/2023 17:48:24
-9.84,78.45,0.87,02/May/2023 17:48:24
-9.84,78.45,0.81,02/May/2023 17:48:24
-9.83,78.45,0.84,02/May/2023 17:48:26
-9.85,78.45,0.84,02/May/2023 17:48:28
-9.80,78.45,0.84,02/May/2023 17:48:30
-9.79,78.45,0.84,02/May/2023 17:48:32
-9.80,78.45,0.79,02/May/2023 17:48:34
-9.83,78.45,0.78,02/May/2023 17:48:36
-9.88,78.45,0.75,02/May/2023 17:48:38
-9.93,78.45,0.81,02/May/2023 17:48:45
-9.90,78.45,0.83,02/May/2023 17:48:45
-9.94,78.45,0.80,02/May/2023 17:48:45
-9.92,78.45,0.80,02/May/2023 17:48:46
-9.85,78.45,0.83,02/May/2023 17:48:48
-9.80,78.45,0.82,02/May/2023 17:48:50
-9.84,78.45,0.79,02/May/2023 17:48:52
-9.88,78.45,0.80,02/May/2023 17:48:54
-9.88,78.45,0.78,02/May/2023 17:48:56
-9.90,78.45,0.81,02/May/2023 17:48:58
-9.89,78.45,0.83,02/May/2023 17:49:06
-9.88,78.45,0.81,02/May/2023 17:49:06
-9.81,78.45,0.83,02/May/2023 17:49:06
-9.80,78.45,0.86,02/May/2023 17:49:06
-9.80,78.45,0.81,02/May/2023 17:49:08
-9.80,78.45,0.82,02/May/2023 17:49:10
-9.77,78.45,0.81,02/May/2023 17:49:12
-9.79,78.45,0.82,02/May/2023 17:49:14
-9.79,78.45,0.85,02/May/2023 17:49:16
-9.85,78.45,0.85,02/May/2023 17:49:18
-9.91,78.45,0.84,02/May/2023 17:49:25
-9.94,78.45,0.81,02/May/2023 17:49:25
-9.94,78.45,0.75,02/May/2023 17:49:25
-9.93,78.45,0.79,02/May/2023 17:49:26
-9.86,78.45,0.86,02/May/2023 17:49:28
-9.85,78.45,0.82,02/May/2023 17:49:30
-9.80,78.45,0.82,02/May/2023 17:49:32
-9.86,78.45,0.80,02/May/2023 17:49:34
-9.91,78.45,0.79,02/May/2023 17:49:36
-9.92,78.45,0.78,02/May/2023 17:49:38
-9.87,78.45,0.81,02/May/2023 17:49:45
-9.90,78.45,0.78,02/May/2023 17:49:45
-9.91,78.45,0.74,02/May/2023 17:49:45
-9.91,78.45,0.77,02/May/2023 17:49:46
-9.90,78.45,0.79,02/May/2023 17:49:48
-9.89,78.45,0.79,02/May/2023 17:49:50
-9.90,78.45,0.82,02/May/2023 17:49:52
-9.90,78.45,0.78,02/May/2023 17:49:54
-9.91,78.45,0.79,02/May/2023 17:49:56
-9.92,78.45,0.78,02/May/2023 17:49:58
-9.97,78.45,0.77,02/May/2023 17:50:05
-9.89,78.45,0.79,02/May/2023 17:50:05
-9.84,78.45,0.83,02/May/2023 17:50:05
-9.89,78.45,0.80,02/May/2023 17:50:06
