timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
32060500,4105,0,0.48430267,0.75637287,-9.675863,0.004503939,0.0019270966,-0.03990111,55.25,78.0,0.0023928226,1114658,243,713,-3678,11852
32162349,4186,0,0.22108625,0.48536912,-9.853044,0.0016944564,0.009464931,-0.04476942,55.375,78.0,0.0023928226,1114658,-246,678,-3215,12780
32263158,4208,0,0.17602284,0.39977828,-9.874808,-0.0058274916,0.0008386293,-0.0352427,55.25,78.0,0.0023928226,1114658,857,234,-3411,-15
32363949,5187,0,-0.14957592,0.49690798,-9.2741785,0.00073379354,0.016791161,-0.047673836,55.25,78.0,0.0023928226,1114658,-1189,1239,-3453,-15
32465952,5398,0,0.40945366,-2.2340412,-9.378389,-0.009434041,-0.01163594,-0.044432785,55.25,78.0,0.0023928226,1114658,680,-1263,-4086,11850
32566737,4337,0,0.9976613,-0.2559445,-9.398758,0.00066237425,-0.014586015,-0.03540169,55.25,78.0,0.0023928226,1114658,1498,-2038,-3072,11856
32668452,4093,0,0.123544894,-0.38346493,-9.729258,-0.009947106,-0.009541229,-0.04374897,55.25,78.0,0.0023928226,1114658,1005,-670,-3050,2048
32770299,4199,0,-0.2835489,-1.3175855,-10.135236,-0.008768827,-0.0025401372,-0.043843076,55.25,78.0,0.0023928226,1114658,117,1042,-2852,-15
32872153,4204,0,0.37225825,-0.097238146,-9.841528,-0.0046800068,0.012986695,-0.033337105,55.25,78.0,0.0023928226,1114658,-404,1804,-2540,-15
32974000,4055,0,1.3282092,1.783516,-9.802205,0.0054262313,0.0054406836,-0.046199746,55.25,78.0,0.0023928226,1114658,853,-840,-2830,11856
33077965,4188,0,-0.056528013,-0.38948002,-10.071259,0.0018991056,-0.00948012,-0.040483296,55.25,78.0,0.0023928226,1114658,1142,375,-3308,11858
33175610,4066,0,-0.36271474,-0.79742914,-9.976208,0.0003857984,-0.004847821,-0.039587557,55.375,78.0,0.0023928226,1114658,34,1117,-2033,11864
33277461,4174,0,1.0267493,0.62414837,-9.566871,0.009880195,0.0057687326,-0.03979719,55.25,78.0,0.0023928226,1114658,-523,662,-4037,8193
33381399,4199,0,-0.017662665,-0.09187757,-9.8149,-0.016578343,-0.0066991653,-0.04383959,55.25,78.0,0.0023928226,1114658,950,98,-3088,-15
33483261,4211,0,-0.48290417,-0.3353459,-9.670525,0.010625445,0.0081120515,-0.034115467,55.25,78.0,0.0023928226,1114658,-698,1723,-3785,2049
