timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
36658995,4230,0,0.04218334,0.5220569,-9.84542,0.00029694007,0.0017235422,-0.042598646,33.625,78.0,0.0023928226,1114658,63,456,-3058,2049
36761865,4196,0,-0.82614535,0.33201042,-10.035742,-0.001319884,0.0060733757,-0.047716156,33.75,78.0,0.0023928226,1114658,223,727,-4185,10
36859515,4199,0,-0.2061784,0.660042,-9.846966,-0.0014714681,0.004849852,-0.034069356,33.5,78.0,0.0023928226,1114658,1004,506,-3000,8192
36963503,4239,0,-0.58150107,-1.4412987,-10.406383,-0.0002916487,0.013533015,-0.04436969,33.5,78.0,0.0023928226,1114658,-1392,587,-3925,2048
37064264,5195,0,0.056338035,-0.3911113,-10.302271,-0.0032178988,-0.031018915,-0.0573959,33.625,78.0,0.0023928226,1114658,5132,-274,-1557,10
37161915,4199,0,0.5409224,3.0964034,-9.643683,0.005830397,0.00220821,-0.047613077,33.625,78.0,0.0023928226,1114658,726,379,-3246,8193
37264815,4170,0,0.33913025,2.279629,-9.986265,-0.011394523,-0.004371514,-0.03906825,33.5,78.0,0.0023928226,1114658,2110,-478,-2470,8193
37370900,4235,0,-0.82847065,-1.5761282,-9.704646,-0.005538625,-0.008764359,-0.046125583,33.5,78.0,0.0023928226,1114658,941,89,-1457,10
37470615,4200,0,-1.0117778,-1.381266,-9.763059,-0.0038519646,0.009200767,-0.038104974,33.625,78.0,0.0023928226,1114658,-208,859,-5394,10
37569314,4156,0,-0.1884437,-0.44726127,-10.223653,0.011471378,7.575465e-05,-0.04103327,33.625,78.0,0.0023928226,1114658,-1684,1577,-4344,8193
37670158,6289,0,0.7782214,0.3428415,-9.819977,0.004652858,0.003003491,-0.0560136,33.625,78.0,0.0023928226,1114658,697,-818,-3618,10
37771981,5266,0,-0.9492082,-0.545417,-9.581184,-0.009730674,-0.007484689,-0.056092665,33.625,78.0,0.0023928226,1114658,492,181,-4730,8193
37874864,4189,0,-0.34535304,-0.012536524,-10.193421,0.004547824,0.00920168,-0.04125504,33.625,78.0,0.0023928226,1114658,175,1366,-1980,16902
37975665,4141,0,-0.005011821,0.86605823,-9.814219,-0.0039874986,-0.00854061,-0.036447965,33.625,78.0,0.0023928226,1114658,401,354,-1898,10
38075415,4200,0,-0.48761043,-1.1413579,-9.842178,-0.008769594,-0.010432032,-0.04000514,33.625,78.0,0.0023928226,1114658,-178,56,-3866,8192
38179365,4167,0,0.016640747,0.90683913,-10.07247,0.008072298,0.0036401944,-0.037447542,33.5,78.0,0.0023928226,1114658,424,530,-2951,8192
