1688;-612;18932;1686753525.0688443
-1056;2120;16952;1686753525.0703654
3156;4472;20108;1686753525.0718129
1056;1188;19320;1686753525.0732973
-588;-2408;15800;1686753525.074854
2408;-2880;18928;1686753525.0764153
-992;-708;17552;1686753525.0779362
564;1108;14892;1686753525.0792575
1772;216;22708;1686753525.0806704
-256;1224;14752;1686753525.082147
-256;1224;14752;1686753525.0836208
2800;-600;19660;1686753525.0851126
2480;-2356;19828;1686753525.0866752
-1584;1332;13160;1686753525.088196
4128;5860;22468;1686753525.08969
1108;3824;19800;1686753525.0911493
-1752;-368;14800;1686753525.0927474
2976;-256;20576;1686753525.0942092
-1508;392;17168;1686753525.0956893
60;-252;14696;1686753525.0969672
3276;-3508;22052;1686753525.0985312
-1300;-3036;16328;1686753525.1001928
404;1732;15724;1686753525.1015599
404;1732;15724;1686753525.102985
4608;4840;23320;1686753525.1044314
-3932;-1100;13660;1686753525.1061096
2928;-1800;17604;1686753525.1076763
1276;2888;23208;1686753525.1091464
-560;6684;13392;1686753525.1106308
3352;2824;21632;1686753525.1120827
1192;-3576;18936;1686753525.1136613
-3348;-6500;13860;1686753525.1153
2004;-1820;19088;1686753525.1168573
-3732;808;18412;1686753525.118335
-1884;1272;14664;1686753525.1199088
3016;-812;21152;1686753525.1213849
3016;-812;21152;1686753525.122858
712;-2376;17816;1686753525.12433
3984;1980;16488;1686753525.1258032
5708;5688;22848;1686753525.1272814
680;2292;16544;1686753525.1286697
1004;-2444;18148;1686753525.1302345
-992;-2548;19224;1686753525.1317978
-3492;-1108;13988;1686753525.1334546
284;796;19840;1686753525.134739
-384;-628;16692;1686753525.1362169
804;-652;17548;1686753525.1376097
6568;1728;21116;1686753525.139096
2656;-1100;17516;1686753525.1405883
2656;-1100;17516;1686753525.1421514
1928;756;15812;1686753525.1435397
3472;3888;21440;1686753525.1450164
-1736;3564;18288;1686753525.1465771
-280;1928;16620;1686753525.148053
-1320;-940;21080;1686753525.1496155
-3796;-908;12296;1686753525.1511793
3280;108;20780;1686753525.1525667
2412;-2216;18064;1686753525.1541271
512;-3908;15400;1686753525.1556022
5904;1532;21544;1686753525.1570778
-1428;4692;17616;1686753525.1586423
1080;344;15296;1686753525.1600318
1080;344;15296;1686753525.1614192
-308;-3908;22504;1686753525.1629822
-3100;1564;13556;1686753525.1645448
672;6884;20052;1686753525.165934
3564;5352;21076;1686753525.1674101
-1572;-2916;15812;1686753525.169058
4108;-5796;16600;1686753525.1706202
296;-4288;21200;1686753525.1720958
-2812;980;12368;1686753525.1735718
1016;2300;20572;1686753525.1750484
-960;516;19904;1686753525.1764367
-476;-2140;14704;1686753525.1780019
4492;-220;21336;1686753525.1794755
4492;-220;21336;1686753525.1809502
1492;3452;17840;1686753525.1824257
2132;2656;17180;1686753525.1839015
3656;-160;20976;1686753525.1853774
-1512;-2772;16364;1686753525.187027
116;-612;17192;1686753525.1884155
584;1748;19144;1686753525.189804
-1832;56;16768;1686753525.1911926
936;-1896;18400;1686753525.192669
2928;-144;19912;1686753525.1941452
1020;-1088;16128;1686753525.1957076
2780;-1212;18280;1686753525.1972687
1632;4208;19392;1686753525.1987445
1632;4208;19392;1686753525.2002199
716;5332;17180;1686753525.201609
2608;2844;22052;1686753525.2030845
-2192;-456;15640;1686753525.2046483
-448;-560;17116;1686753525.2061234
1692;204;19584;1686753525.2075121
-704;-2748;15412;1686753525.2090745
1844;-3244;18704;1686753525.2106361
1284;-304;19868;1686753525.212112
-1440;3068;15028;1686753525.2136748
3860;2924;20144;1686753525.2151508
-956;-2916;18136;1686753525.2167134
388;88;15492;1686753525.2179277
388;88;15492;1686753525.2191432
4632;6684;22752;1686753525.220618
628;6352;18076;1686753525.2220082
272;-1860;15748;1686753525.2234826
1332;-5928;20792;1686753525.2250466
-5704;-4908;12876;1686753525.2266958
116;92;17200;1686753525.22791
-744;1500;20924;1686753525.2293856
-1088;1128;15396;1686753525.2309484
5888;200;19676;1686753525.232337
4020;-972;20788;1686753525.233813
1468;1232;14140;1686753525.2352886
4264;2584;21468;1686753525.236764
4264;2584;21468;1686753525.23824
-1628;604;18852;1686753525.2397163
-3440;-800;14604;1686753525.2412775
636;-48;20516;1686753525.2425802
-2260;-776;16088;1686753525.2441416
996;-820;17248;1686753525.2455308
4216;-1008;20516;1686753525.247092
1328;780;16700;1686753525.2484818
4732;952;18740;1686753525.2498705
2640;-1696;20476;1686753525.2514334
-2256;1276;13520;1686753525.2529964
1736;4964;21268;1686753525.254472
-620;3892;20396;1686753525.255948
-620;3892;20396;1686753525.2574234
-2280;20;14192;1686753525.2588122
1720;-1540;20760;1686753525.260374
872;276;16264;1686753525.261676
