timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,device_id,x_raw,y_raw,z_raw,temperature_raw
35298469,5176,0,-0.47233257,0.3687801,-9.903428,0.004654552,-0.0013831749,-0.052853044,44.75,78.0,0.0023928226,1114658,524,1141,-3245,-2
35399269,4200,0,0.087546565,0.21406575,-9.885506,0.0018701268,-0.0015878655,-0.040617824,44.75,78.0,0.0023928226,1114658,1037,584,-3669,-2
35497969,4200,0,0.24207179,-0.5250718,-10.114196,-0.0054154843,0.0016631202,-0.036562283,44.75,78.0,0.0023928226,1114658,216,-246,-3351,-2
35599836,5268,0,-0.06560977,-0.58445936,-10.304163,0.0026210253,-0.005484778,-0.053514153,44.875,78.0,0.0023928226,1114658,1016,371,-3268,-2
35704819,4169,0,-0.46453214,-1.551335,-10.274313,-0.00096811116,-0.011160773,-0.04044129,44.875,78.0,0.0023928226,1114658,697,1190,-3777,9312
35804593,5234,0,-0.2884778,-0.32663283,-9.914362,-0.013128533,-0.012099428,-0.050064266,44.625,78.0,0.0023928226,1114658,1026,110,-4499,8192
35905413,4245,0,-0.5328327,-0.7723623,-9.789672,-0.0073876684,-0.00720721,-0.037635714,44.875,78.0,0.0023928226,1114658,175,-31,-2996,9322
36010371,4183,0,0.139898,-0.06204642,-9.666615,0.0006078831,0.01087255,-0.038192194,44.75,78.0,0.0023928226,1114658,-707,678,-4148,8155
36106996,4227,0,0.7326211,0.1321173,-9.900851,0.0048022633,0.00561867,-0.04817196,44.75,78.0,0.0023928226,1114658,-14,459,-2965,9335
36208819,4200,0,0.30778497,0.8475077,-10.216005,-0.0048287744,-0.003059051,-0.03809574,44.75,78.0,0.0023928226,1114658,759,256,-1296,9333
36310669,5250,0,-0.4701349,-0.06794451,-9.892,0.0016034693,-0.0035047056,-0.05027424,44.875,78.0,0.0023928226,1114658,402,-267,-2272,8193
36415750,4282,0,0.86878914,0.8675197,-9.805757,0.0061254473,0.0018020845,-0.04356879,44.75,78.0,0.0023928226,1114658,980,584,-3064,9339
36518569,4190,0,-0.65526503,-0.6497544,-9.828102,-0.009321051,-0.005177848,-0.039144084,44.875,78.0,0.0023928226,1114658,258,197,-3087,9344
36621475,4089,0,0.61399883,0.9784833,-10.095397,-0.004179455,0.011739424,-0.04669174,44.75,78.0,0.0023928226,1114658,413,120,-2172,9352
36721290,5289,0,-0.86867183,0.4795013,-9.81653,-0.015727494,-0.013606182,-0.048824307,44.875,78.0,0.0023928226,1114658,1723,379,-2762,8167
36822069,4235,0,1.2305537,0.37900493,-9.856311,0.0052470863,0.010245002,-0.046566185,44.875,78.0,0.0023928226,1114658,-510,-180,-2866,8161
